EL= 2.250E+00
10.0      4.221E-03       2.894E-02       3.944E-04  6.850E-01 -8.626E-03  1.603E-03
20.0      4.572E-03       1.035E-01       6.878E-04  6.304E-01 -1.469E-02  5.690E-03
30.0      5.109E-03       1.976E-01       8.375E-04  5.617E-01 -1.719E-02  1.073E-02
40.0      5.764E-03       2.886E-01       8.579E-04  4.953E-01 -1.666E-02  1.545E-02
50.0      6.456E-03       3.647E-01       7.863E-04  4.401E-01 -1.421E-02  1.921E-02
60.0      7.100E-03       4.222E-01       6.578E-04  3.985E-01 -1.078E-02  2.190E-02
70.0      7.617E-03       4.614E-01       4.969E-04  3.704E-01 -6.997E-03  2.363E-02
80.0      7.945E-03       4.836E-01       3.190E-04  3.544E-01 -3.148E-03  2.455E-02
90.0      8.046E-03       4.901E-01       1.337E-04  3.498E-01  6.764E-04  2.481E-02
100.0      7.908E-03       4.813E-01      -5.269E-05  3.561E-01  4.485E-03  2.443E-02
110.0      7.551E-03       4.568E-01      -2.334E-04  3.736E-01  8.279E-03  2.337E-02
120.0      7.017E-03       4.157E-01      -3.996E-04  4.032E-01  1.196E-02  2.154E-02
130.0      6.372E-03       3.569E-01      -5.372E-04  4.458E-01  1.521E-02  1.877E-02
140.0      5.692E-03       2.803E-01      -6.246E-04  5.014E-01  1.743E-02  1.498E-02
150.0      5.058E-03       1.904E-01      -6.319E-04  5.669E-01  1.766E-02  1.032E-02
160.0      4.543E-03       9.897E-02      -5.290E-04  6.338E-01  1.488E-02  5.429E-03
170.0      4.209E-03       2.751E-02      -3.060E-04  6.861E-01  8.658E-03  1.520E-03
180.0      4.093E-03       9.769E-23       1.882E-14  7.063E-01 -5.338E-13  5.414E-24
EL= 2.450E+00
0.0      3.783E-03       0.000E+00       0.000E+00  7.058E-01  0.000E+00  0.000E+00
10.0      3.951E-03       4.260E-02       5.444E-04  6.745E-01 -1.294E-02  2.400E-03
20.0      4.436E-03       1.470E-01       9.153E-04  5.980E-01 -2.118E-02  8.202E-03
30.0      5.175E-03       2.687E-01       1.065E-03  5.091E-01 -2.357E-02  1.477E-02
40.0      6.076E-03       3.770E-01       1.045E-03  4.303E-01 -2.176E-02  2.033E-02
50.0      7.028E-03       4.611E-01       9.232E-04  3.693E-01 -1.779E-02  2.436E-02
60.0      7.911E-03       5.212E-01       7.482E-04  3.262E-01 -1.306E-02  2.700E-02
70.0      8.620E-03       5.605E-01       5.480E-04  2.981E-01 -8.287E-03  2.856E-02
80.0      9.067E-03       5.821E-01       3.368E-04  2.827E-01 -3.705E-03  2.934E-02
90.0      9.202E-03       5.883E-01       1.212E-04  2.784E-01  7.172E-04  2.953E-02
100.0      9.010E-03       5.796E-01      -9.509E-05  2.846E-01  5.127E-03  2.920E-02
110.0      8.517E-03       5.554E-01      -3.083E-04  3.018E-01  9.665E-03  2.828E-02
120.0      7.783E-03       5.137E-01      -5.118E-04  3.316E-01  1.434E-02  2.657E-02
130.0      6.898E-03       4.515E-01      -6.920E-04  3.763E-01  1.890E-02  2.382E-02
140.0      5.966E-03       3.662E-01      -8.231E-04  4.381E-01  2.259E-02  1.971E-02
150.0      5.097E-03       2.585E-01      -8.613E-04  5.165E-01  2.401E-02  1.418E-02
160.0      4.393E-03       1.400E-01      -7.491E-04  6.031E-01  2.123E-02  7.795E-03
170.0      3.935E-03       4.024E-02      -4.473E-04  6.763E-01  1.283E-02  2.262E-03
180.0      3.777E-03       1.448E-22       2.787E-14  7.058E-01 -8.028E-13  8.166E-24
EL= 2.500E+00
0.0      3.509E-03       0.000E+00       0.000E+00  7.053E-01  0.000E+00  0.000E+00
10.0      3.724E-03       5.773E-02       6.975E-04  6.629E-01 -1.784E-02  3.305E-03
20.0      4.342E-03       1.918E-01       1.128E-03  5.645E-01 -2.798E-02  1.085E-02
