112.000 115.479 5.273 61.233 5.902 1.0530
113.000 116.454 5.262 60.288 5.913 1.0552
114.000 117.428 5.251 59.345 5.924 1.0575
115.000 118.401 5.240 58.404 5.935 1.0597
116.000 119.373 5.229 57.465 5.946 1.0619
117.000 120.343 5.219 56.528 5.957 1.0641
118.000 121.313 5.208 55.593 5.967 1.0663
119.000 122.282 5.198 54.659 5.978 1.0685
120.000 123.250 5.187 53.727 5.988 1.0707
121.000 124.216 5.177 52.797 5.998 1.0728
122.000 125.182 5.167 51.868 6.008 1.0749
123.000 126.147 5.157 50.941 6.018 1.0771
124.000 127.111 5.147 50.016 6.028 1.0792
125.000 128.073 5.138 49.092 6.038 1.0812
126.000 129.035 5.128 48.170 6.047 1.0833
127.000 129.996 5.119 47.250 6.057 1.0853
128.000 130.956 5.109 46.331 6.066 1.0873
129.000 131.916 5.100 45.413 6.075 1.0893
130.000 132.874 5.091 44.498 6.084 1.0913
131.000 133.831 5.083 43.583 6.093 1.0932
132.000 134.788 5.074 42.670 6.102 1.0951
133.000 135.744 5.065 41.759 6.110 1.0970
134.000 136.699 5.057 40.849 6.118 1.0989
135.000 137.653 5.049 39.940 6.127 1.1007
136.000 138.606 5.041 39.033 6.135 1.1025
137.000 139.558 5.033 38.126 6.143 1.1043
138.000 140.510 5.025 37.222 6.150 1.1060
139.000 141.461 5.017 36.318 6.158 1.1078
140.000 142.411 5.010 35.416 6.165 1.1094
141.000 143.361 5.003 34.515 6.173 1.1111
142.000 144.309 4.996 33.615 6.180 1.1127
143.000 145.257 4.989 32.716 6.187 1.1143
144.000 146.205 4.982 31.818 6.193 1.1159
145.000 147.151 4.975 30.922 6.200 1.1174
146.000 148.097 4.969 30.026 6.206 1.1189
147.000 149.043 4.963 29.132 6.213 1.1203
148.000 149.987 4.957 28.238 6.219 1.1217
149.000 150.932 4.951 27.346 6.225 1.1231
150.000 151.875 4.945 26.454 6.230 1.1245
151.000 152.818 4.940 25.564 6.236 1.1258
152.000 153.761 4.934 24.674 6.241 1.1270
153.000 154.703 4.929 23.785 6.246 1.1282
154.000 155.644 4.924 22.897 6.251 1.1294
155.000 156.585 4.919 22.010 6.256 1.1306
156.000 157.525 4.914 21.123 6.261 1.1317
157.000 158.465 4.910 20.238 6.265 1.1327
158.000 159.405 4.906 19.353 6.270 1.1338
159.000 160.344 4.902 18.468 6.274 1.1347
160.000 161.283 4.898 17.585 6.278 1.1357
161.000 162.221 4.894 16.702 6.281 1.1366
162.000 163.159 4.890 15.819 6.285 1.1374
163.000 164.096 4.887 14.937 6.288 1.1382
164.000 165.034 4.884 14.056 6.291 1.1390
165.000 165.971 4.881 13.175 6.294 1.1397
166.000 166.907 4.878 12.294 6.297 1.1404
167.000 167.844 4.876 11.414 6.300 1.1410
168.000 168.780 4.873 10.535 6.302 1.1416
169.000 169.715 4.871 9.656 6.304 1.1421
170.000 170.651 4.869 8.777 6.306 1.1426
171.000 171.587 4.867 7.898 6.308 1.1431
172.000 172.522 4.866 7.020 6.310 1.1435
173.000 173.457 4.864 6.142 6.311 1.1438
174.000 174.392 4.863 5.264 6.313 1.1441
175.000 175.327 4.862 4.386 6.314 1.1444
176.000 176.262 4.861 3.509 6.315 1.1446
177.000 177.196 4.860 2.632 6.315 1.1447
178.000 178.131 4.860 1.754 6.316 1.1449
179.000 179.065 4.859 0.877 6.316 1.1449
180.000 180.000 4.859 0.000 6.316 1.1450
